director_actor,count
Frank Coraci & Adam Sandler,3
Jay Karas & Bill Burr,3
Jay Roach &  Michael York,3
Jay Roach &  Mindy Sterling,3
Jay Roach &  Robert Wagner,3
Jay Roach &  Seth Green,3
Jay Roach & Mike Myers,3
Jeremy Saulnier &  Macon Blair,3
Kevin Smith &  Jason Mewes,3
Kevin Smith &  Jennifer Schwalbach,3
Kevin Smith &  Justin Long,3
"Lilly Wachowski, Lana Wachowski &  Carrie-Anne Moss",3
"Lilly Wachowski, Lana Wachowski &  Hugo Weaving",3
"Lilly Wachowski, Lana Wachowski &  Laurence Fishburne",3
"Lilly Wachowski, Lana Wachowski & Keanu Reeves",3
Louis C.K. & Louis C.K.,3
Martin Scorsese &  Harvey Keitel,5
Martin Scorsese & Robert De Niro,4
Michael Simon & Jeff Dunham,3
Robert Rodriguez &  Alexa PenaVega,4
Robert Rodriguez &  Danny Trejo,3
Robert Rodriguez &  Daryl Sabara,3
Steven Spielberg & Harrison Ford,4
Sylvester Stallone &  Burt Young,3
Sylvester Stallone &  Carl Weathers,3
Sylvester Stallone &  Talia Shire,3
Sylvester Stallone &  Tony Burton,3
Sylvester Stallone & Sylvester Stallone,3
William Lau &  America Young,3
William Lau &  Kate Higgins,3
